original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence,recipe_title,recipe_category,likely_sub_category_1,likely_sub_category_1_score,main_category_1,likely_sub_category_2,likely_sub_category_2_score,main_category_2,likely_sub_category_3,likely_sub_category_3_score,main_category_3
"½ cup (1 stick) TJ’s Unsalted Butter, at room temperature",Unsalted Butter,0.994714,0.5,1/2 cups,cup,0.999899,at room temperature,0.999736,Cheesy Olive-Stuffed Shortbread Bites,Appetizers & Sides,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
2 cups grated TJ’s Cheddar Cheese with Caramelized Onions,Cheddar Cheese with Caramelized Onions,0.994556,2.0,2 cups,cup,0.999754,grated,0.986208,Cheesy Olive-Stuffed Shortbread Bites,Appetizers & Sides,Cream and Creamy Cheeses,0.8911356329917908,Cheese,"Slices, Shreds, Crumbles",0.0308214388787746,Cheese,Fresh,0.0056604468263685,Unknown
For Thyme and Black Pepper-flavored shortbread bites: 1 tablespoon chopped TJ’s Fresh Thyme (plus a few sprigs for garnish) and 1 teaspoon TJ’s Organic Ground Black Pepper,For Thyme and Black Pepper-flavored shortbread bites Fresh Thyme Organic Ground Black Pepper,0.8342833333333334,1.0,1 tablespoon,tablespoon,0.50148,chopped,0.743028,Cheesy Olive-Stuffed Shortbread Bites,Appetizers & Sides,Cereals,0.1219125837087631,For the Pantry,Spices,0.1205703318119049,For the Pantry,Fresh,0.0640476495027542,Unknown
"1 package TJ’s Beef Birria, prepared according to package instructions",Beef Birria,0.999131,1.0,1 package,package,0.999878,prepared according to package instructions,0.981648,Quesabirria Tacos,Dinner & Lunch,Fresh,0.9204865097999572,Unknown,Yogurt,0.004366984590888,Dairy & Eggs,"Beef, Pork & Lamb",0.0038596598897129,"Meat, Seafood & Plant-based"
"2 cloves TJ’s Garlic, peeled and finely minced",Garlic,0.986108,2.0,2 cloves,cloves,0.993766,peeled and finely minced,0.999539,Seared Salmon & Quick-Pickled Cucumbers,Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"¼ cup plus 1 tablespoon chopped TJs Fresh Dill, divided (reserve a few fronds for garnish)",TJs Fresh Dill,0.90158,0.25,1/4 cups,cup,0.99987,"chopped, divided",0.93233,Seared Salmon & Quick-Pickled Cucumbers,Dinner,Fresh,0.9085958003997804,Unknown,"Slices, Shreds, Crumbles",0.0065955780446529,Cheese,"BBQ, Pasta, Simmer",0.0055143446661531,"Dips, Sauces & Dressings"
"1 package (1¼ or 1½ pounds) TJ’s Boneless Skinless Fresh Atlantic Salmon Fillet, cut into 4 portions",Boneless Skinless Fresh Atlantic Salmon Fillet,0.996325,1.0,1 package,package,0.998947,cut into 4 portions,0.999652,Seared Salmon & Quick-Pickled Cucumbers,Dinner,Fresh,0.7647442817687988,Unknown,Shellfish,0.0657542124390602,Unknown,"Slices, Shreds, Crumbles",0.0111840711906552,Cheese
"4 tablespoons TJ’s Unsalted Butter, cut into small cubes",Unsalted Butter,0.996254,4.0,4 tablespoons,tablespoon,0.999944,cut into small cubes,0.999935,Seared Salmon & Quick-Pickled Cucumbers,Dinner,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"3 ounces of your favorite TJ's vodka, chilled",your favorite vodka,0.908491,3.0,3 ounces,ounce,0.999606,chilled,0.996437,Jean's Favorite Martini,Beverages,Oils & Vinegars,0.1033095717430114,For the Pantry,Pastas & Grains,0.0573270544409751,For the Pantry,Spices,0.0555328801274299,For the Pantry
1 teaspoon minced TJ’s Garlic,Garlic,0.990654,1.0,1 teaspoon,teaspoon,0.999643,minced,0.994062,Dumpling Dipping Sauce,Appetizers & Sides,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
1 teaspoon minced TJ’s Ginger,Ginger,0.991448,1.0,1 teaspoon,teaspoon,0.999724,minced,0.985966,Dumpling Dipping Sauce,Appetizers & Sides,Spices,0.1048303842544555,For the Pantry,Cool Desserts,0.0704292505979538,From The Freezer,Fresh,0.0620822384953498,Unknown
"2 packages TJ’s Chevre Fine Herbs Goat Cheese, sliced into rounds",Chevre Fine Herbs Goat Cheese,0.999564,2.0,2 packages,packages,0.999815,sliced into rounds,0.998716,Crispy Prosciutto Crostini,Appetizers & Sides,Cream and Creamy Cheeses,0.7428162097930908,Cheese,"Slices, Shreds, Crumbles",0.0355417244136333,Cheese,Fresh,0.0319079011678695,Unknown
"2 sprigs of TJ’s Sage, leaves removed",Sage,0.976931,2.0,2 sprigs,sprigs,0.999369,leaves removed,0.998799,Blue Cheese-Stuffed Dates,Appetizers & Sides,Spices,0.0851512551307678,For the Pantry,"Slices, Shreds, Crumbles",0.0512741543352603,Cheese,Fresh Vegetables,0.0409220121800899,Unknown
"1 box TJ’s Puff Pastry (two sheets), thawed according to package instructions",Puff Pastry,0.99901,1.0,1 box,box,0.999663,thawed according to package instructions,0.998378,Cranberry Chevre Bites,Appetizers & Sides,Bakery,0.2628432512283325,Unknown,Sweet Stuff,0.0901571586728096,Bakery,Bagels,0.0446834117174148,Bakery
"3 cups TJ’s Kale, chopped",Kale,0.998062,3.0,3 cups,cup,0.999972,chopped,0.999398,Harvest Pilaf,Appetizers & Sides,Fresh,0.1354566514492035,Unknown,Bakery,0.0477080196142196,Unknown,Dip/Spread,0.043509192764759,"Dips, Sauces & Dressings"
1/3 cup chopped TJ’s Raw Pecans Halves,Raw Pecans Halves,0.997747,0.3333333333333333,1/3 cups,cup,0.999777,chopped,0.996114,Harvest Pilaf,Appetizers & Sides,Fresh,0.7110737562179565,Unknown,"Slices, Shreds, Crumbles",0.0723044946789741,Cheese,"Nuts, Dried Fruits, Seeds",0.0175015479326248,Snacks & Sweets
"1 package (8.8 ounces) TJ’s Gluten Free Tagliatelle Pasta, cooked according to package instructions, reserving one cup of pasta water",Gluten Free Tagliatelle Pasta,0.995243,1.0,1 package,package,0.999308,"cooked according to package instructions, reserving one cup of pasta water",0.873417,Gluten Free Shrimp Scampi Tagliatelle,Dinner,Cream and Creamy Cheeses,0.2429838478565216,Cheese,Fresh,0.1162169948220253,Unknown,"BBQ, Pasta, Simmer",0.075368121266365,"Dips, Sauces & Dressings"
"6 tablespoons of your favorite TJ’s Olive Oil, divided",your favorite Olive Oil,0.98599,6.0,6 tablespoons,tablespoon,0.999415,divided,0.999506,Gluten Free Shrimp Scampi Tagliatelle,Dinner,Oils & Vinegars,0.2058043628931045,For the Pantry,Spices,0.1307600140571594,For the Pantry,"Packaged Fish, Meat, Fruit & Veg",0.0468800850212574,For the Pantry
"1 pound TJ’s Wild Uncooked Argentinian Shrimp, thawed and patted dry",Wild Uncooked Argentinian Shrimp,0.998804,1.0,1 pound,pound,0.999952,thawed and patted dry,0.994148,Gluten Free Shrimp Scampi Tagliatelle,Dinner,Fresh,0.410144954919815,Unknown,Shellfish,0.2509397566318512,Unknown,Smoked,0.0294723566621541,Unknown
"¼ cup TJ’s Parsley, finely chopped",Parsley,0.999257,0.25,1/4 cups,cup,0.999974,finely chopped,0.998403,Gluten Free Shrimp Scampi Tagliatelle,Dinner,Fresh,0.1060604825615882,Unknown,"Slices, Shreds, Crumbles",0.0824857801198959,Cheese,Fresh Fruits,0.0794248580932617,Unknown
"1 package TJ’s Gluten Free Egg Fettucine Pasta, cooked according to package instructions",Gluten Free Egg Fettucine Pasta,0.999543,1.0,1 package,package,0.99977,cooked according to package instructions,0.997561,Chimichurri Fettuccine,Lunch & Dinner,Fresh,0.3259495496749878,Unknown,Cream and Creamy Cheeses,0.1390597969293594,Cheese,Shelf Stable Foods,0.0347688607871532,Unknown
"½ cup TJ’s Olive and Herbs Mixed Nuts, finely chopped",Olive and Herbs Mixed Nuts,0.980627,0.5,1/2 cups,cup,0.999948,finely chopped,0.99924,Olive & Herb Cream Cheese Dip,Appetizers & Sides,"Nuts, Dried Fruits, Seeds",0.4893436133861542,Snacks & Sweets,Cream and Creamy Cheeses,0.0553416348993778,Cheese,Spices,0.0406126715242862,For the Pantry
"1 stick TJ’s Unsalted Butter, melted and cooled (plus additional butter to grease the pan)",Unsalted Butter,0.995012,1.0,1 stick,stick,0.997674,melted and cooled,0.99924,Pumpkin Bars,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 bar of TJ’s 3 pack Dark Chocolate (or 1/4 cup of your favorite TJ’s chocolate), chopped",Dark Chocolate,0.894051,1.0,1 bar,bar,0.996919,chopped,0.969839,Chocolate Peanut Nachos,Desserts,Cream and Creamy Cheeses,0.0578013733029365,Cheese,Bakery,0.0535003095865249,Unknown,Sweet Stuff,0.0488720312714576,Bakery
"8 slices of TJ’s Uncured Apple Smoked Bacon, cooked according to package instructions, then roughly chopped",Uncured Apple Smoked Bacon,0.996799,8.0,8 slices,slices,0.997549,"cooked according to package instructions, then roughly chopped",0.996777,Half-Hearted BLT Salad,Lunch & Appetizers & Sides,Smoked or Processed,0.5946135520935059,Unknown,Fresh,0.0587386600673198,Unknown,Refrigerated Dough,0.0292118117213249,Unknown
"1 cup TJ’s Mini Heirloom Tomatoes, sliced in half",Mini Heirloom Tomatoes,0.998469,1.0,1 cup,cup,0.999959,sliced in half,0.996197,Half-Hearted BLT Salad,Lunch & Appetizers & Sides,Fresh,0.2242641299962997,Unknown,"Slices, Shreds, Crumbles",0.0985974073410034,Cheese,Fresh Vegetables,0.0581636726856231,Unknown
1 cup cubed TJ’s Watermelon,Watermelon,0.984707,1.0,1 cup,cup,0.999671,cubed,0.977572,Grilled Fruit Skewers,Appetizers & Sides & Desserts,Fresh,0.2666518986225128,Unknown,Veggies,0.0888964235782623,Fresh Fruits & Veggies,Fresh Fruits,0.0648905932903289,Unknown
1 cup cubed TJ’s Pineapple,Pineapple,0.983799,1.0,1 cup,cup,0.999678,cubed,0.971388,Grilled Fruit Skewers,Appetizers & Sides & Desserts,Fresh Fruits,0.1461899131536483,Unknown,Fresh,0.0961225554347038,Unknown,Fresh Vegetables,0.0902849212288856,Unknown
1 cup cubed TJ’s Cantaloupe,Cantaloupe,0.982422,1.0,1 cup,cup,0.999673,cubed,0.971327,Grilled Fruit Skewers,Appetizers & Sides & Desserts,Fresh,0.1037531867623329,Unknown,Entrées & Center of Plate,0.0530012361705303,Fresh Prepared Foods,Tortillas & Flatbreads,0.0457848794758319,Bakery
"¼ cup sliced TJ’s Grilled Pitted Green Olives, plus 3 tablespoons of oil, divided",Grilled Pitted Green Olives oil,0.7663915,0.25,1/4 cups,cup,0.999453,"sliced, divided",0.937544,Grilled Olive & Zucchini Rice Salad,Appetizers & Sides & Lunch,Cream and Creamy Cheeses,0.1622533798217773,Cheese,"Slices, Shreds, Crumbles",0.1014798730611801,Cheese,Fresh,0.0895921513438224,Unknown
"1 cup TJ’s Organic Baby Spinach, roughly chopped",Organic Baby Spinach,0.997188,1.0,1 cup,cup,0.999956,roughly chopped,0.998668,Grilled Olive & Zucchini Rice Salad,Appetizers & Sides & Lunch,Fresh,0.2623445987701416,Unknown,"Slices, Shreds, Crumbles",0.0652874335646629,Cheese,"BBQ, Pasta, Simmer",0.0554134324193,"Dips, Sauces & Dressings"
"1 microwavable bag of TJ’s Rice Medley, cooked according to package instructions",Rice Medley,0.983673,1.0,1 microwavable bag,microwavable bag,0.930812,cooked according to package instructions,0.997337,Grilled Olive & Zucchini Rice Salad,Appetizers & Sides & Lunch,Shellfish,0.0736955925822258,Unknown,Cool Desserts,0.0658757165074348,From The Freezer,Fruit & Vegetables,0.0542750209569931,From The Freezer
"5 teaspoons TJ’s Organic Pure Bourbon Vanilla Extract, divided",Organic Pure Bourbon Vanilla Extract,0.997325,5.0,5 teaspoons,teaspoon,0.999922,divided,0.999829,Joe-Joe's Cupcakes,Desserts,Cream and Creamy Cheeses,0.1096138060092926,Cheese,Fresh Fruits,0.0801026076078414,Unknown,Smoked or Processed,0.07896339148283,Unknown
"1 block (8 ounces) TJ’s Cream Cheese, at room temperature",Cream Cheese,0.99448,1.0,1 block,block,0.998434,at room temperature,0.999336,Joe-Joe's Cupcakes,Desserts,Cream and Creamy Cheeses,0.8696893453598022,Cheese,"Slices, Shreds, Crumbles",0.0213078428059816,Cheese,"Wedges, Wheels, Loaves, Logs",0.0131911356002092,Cheese
"½ stick TJ’s Unsalted Butter, softened at room temperature",Unsalted Butter,0.996612,0.5,1/2 sticks,sticks,0.999729,softened at room temperature,0.99999,Joe-Joe's Cupcakes,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"2 pounds TJ’s Peaches (about 6-7 peaches), sliced",Peaches,0.994268,2.0,2 pounds,pound,0.99995,sliced,0.999143,Peachy Granola Crisp,Desserts,Fruits,0.1179200261831283,Fresh Fruits & Veggies,Candies & Cookies,0.0858704522252082,Snacks & Sweets,Cool Desserts,0.0556964762508869,From The Freezer
"2 cups TJ’s Just the Clusters Vanilla Almond Granola, lightly crushed",Just the Clusters Vanilla Almond Granola,0.998508,2.0,2 cups,cup,0.999953,lightly crushed,0.990709,Peachy Granola Crisp,Desserts,Cereals,0.1486586183309555,For the Pantry,Spices,0.0616870634257793,For the Pantry,Refrigerated Dough,0.0547150671482086,Unknown
"4 tablespoons TJ’s Salted Butter Quarters, melted",Salted Butter Quarters,0.914903,4.0,4 tablespoons,tablespoon,0.999813,melted,0.998199,Peachy Granola Crisp,Desserts,Refrigerated Dough,0.1294416785240173,Unknown,Butter,0.0742091909050941,Dairy & Eggs,Fresh,0.0569516345858573,Unknown
"½ cup and 3 tablespoons TJ’s Organic Cane Sugar, divided",Organic Cane Sugar,0.992672,0.5,1/2 cups,cup,0.999413,divided,0.999373,Strawberry Matcha Tiramisu,Desserts,Fresh Fruits,0.1633349508047104,Unknown,Bakery,0.0883813574910163,Unknown,Cream and Creamy Cheeses,0.0645068064332008,Cheese
"1 package TJ’s Cave Aged Switzerland Le Gruyère Cheese, grated",Cave Aged Switzerland Le Gruyère Cheese,0.99935,1.0,1 package,package,0.999883,grated,0.999723,Croque Monsieur Bread Pudding,Dinner,Cream and Creamy Cheeses,0.6563364863395691,Cheese,Fresh,0.0537916235625743,Unknown,"Slices, Shreds, Crumbles",0.0319941341876983,Cheese
"8 slices TJ’s Uncured Black Forest Ham, sliced into ½ inch ribbons",Uncured Black Forest Ham,0.999314,8.0,8 slices,slices,0.99941,sliced into 1/2 inch ribbons,0.999519,Croque Monsieur Bread Pudding,Dinner,Fresh,0.8184939622879028,Unknown,Cream and Creamy Cheeses,0.0130745694041252,Cheese,Smoked or Processed,0.0124431168660521,Unknown
1 teaspoon minced TJ's Garlic,Garlic,0.990654,1.0,1 teaspoon,teaspoon,0.999643,minced,0.994062,Double-Dressed Arugula & Burrata Salad,Lunch,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 container (1 pound) TJ’s Mini Heirloom Tomatoes, sliced in half",Mini Heirloom Tomatoes,0.996777,1.0,1 container,container,0.987168,sliced in half,0.995704,Double-Dressed Arugula & Burrata Salad,Lunch,Fresh,0.2242641299962997,Unknown,"Slices, Shreds, Crumbles",0.0985974073410034,Cheese,Fresh Vegetables,0.0581636726856231,Unknown
½ cup diced TJ’s Red Onion,Red Onion,0.990179,0.5,1/2 cups,cup,0.999512,diced,0.973243,Baby Corn & Feta Salad,Appetizers & Sides & Lunch,Fresh,0.1937725841999054,Unknown,Fresh Vegetables,0.0989869236946106,Unknown,Cool Desserts,0.0613526366651058,From The Freezer
"2 packages TJ’s Baby Corn, chopped into thirds",Baby Corn,0.997068,2.0,2 packages,packages,0.999879,chopped into thirds,0.996959,Baby Corn & Feta Salad,Appetizers & Sides & Lunch,Fresh,0.3506021499633789,Unknown,Pastas & Grains,0.0792531967163086,For the Pantry,Bakery,0.0360503867268562,Unknown
"1 pint TJ’s Organic Heirloom Medley Cherry Tomatoes, sliced in half",Organic Heirloom Medley Cherry Tomatoes,0.999102,1.0,1 pint,pint,0.999193,sliced in half,0.99797,Baby Corn & Feta Salad,Appetizers & Sides & Lunch,Fresh,0.2374937832355499,Unknown,"Slices, Shreds, Crumbles",0.0924563035368919,Cheese,Fresh Vegetables,0.064149685204029,Unknown
¼ cup chopped TJ’s Organic Cilantro,Organic Cilantro,0.995821,0.25,1/4 cups,cup,0.999761,chopped,0.992318,Baby Corn & Feta Salad,Appetizers & Sides & Lunch,Fresh,0.2313604950904846,Unknown,Smoked or Processed,0.1128907576203346,Unknown,Cream and Creamy Cheeses,0.0434862039983272,Cheese
2 tablespoons chopped TJ’s Fresh Parsley,Fresh Parsley,0.981946,2.0,2 tablespoons,tablespoon,0.999813,chopped,0.983568,Peri-Peri Potato Salad,Appetizers & Sides,Fresh,0.6747658252716064,Unknown,Fresh Vegetables,0.0954543948173523,Unknown,"Slices, Shreds, Crumbles",0.0418446734547615,Cheese
"4 stalks TJ’s Celery, thinly sliced (about 1 cup total), leaves reserved",Celery,0.981567,4.0,4 stalks,stalks,0.990505,"thinly sliced, leaves reserved",0.981291,Peri-Peri Potato Salad,Appetizers & Sides,Yogurt,0.1292772889137268,Dairy & Eggs,Fresh,0.1224491447210311,Unknown,Entrées & Center of Plate,0.0766093656420707,Fresh Prepared Foods
"1 package (1 lb.) TJ’s Organic Spaghetti alla Chitarra Pasta, cooked according to package instructions",Organic Spaghetti alla Chitarra Pasta,0.996743,1.0,1 package,package,0.999636,cooked according to package instructions,0.998103,Garlicky Gochujang Spaghetti,Lunch & Dinner,"BBQ, Pasta, Simmer",0.1302438974380493,"Dips, Sauces & Dressings",Cream and Creamy Cheeses,0.1207525730133056,Cheese,Fresh,0.1176138669252395,Unknown
1 cup of pasta water reserved,pasta water,0.908127,1.0,1 cup,cup,0.999937,reserved,0.56456,Garlicky Gochujang Spaghetti,Lunch & Dinner,Fresh,0.127453401684761,Unknown,"BBQ, Pasta, Simmer",0.1259616613388061,"Dips, Sauces & Dressings",Shellfish,0.0575364120304584,Unknown
"1 stick (or 8 tablespoons) TJ’s Salted Butter Quarters, divided",Salted Butter Quarters,0.228794,1.0,1 stick,stick,0.993091,divided,0.993497,Garlicky Gochujang Spaghetti,Lunch & Dinner,Refrigerated Dough,0.1294416785240173,Unknown,Butter,0.0742091909050941,Dairy & Eggs,Fresh,0.0569516345858573,Unknown
"6 cloves of TJ’s Garlic, chopped",Garlic,0.977718,6.0,6 cloves,cloves,0.988055,chopped,0.999443,Garlicky Gochujang Spaghetti,Lunch & Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
½ cup diced TJ’s Red Onion,Red Onion,0.990179,0.5,1/2 cups,cup,0.999512,diced,0.973243,Tortellini Salad,Lunch,Fresh,0.1937725841999054,Unknown,Fresh Vegetables,0.0989869236946106,Unknown,Cool Desserts,0.0613526366651058,From The Freezer
"1 package of your favorite small TJ’s Tomato, sliced in half",your favorite small Tomato,0.881764,1.0,1 package,package,0.999563,sliced in half,0.997057,Tortellini Salad,Lunch,Pastas & Grains,0.1315447092056274,For the Pantry,Appetizers,0.074396438896656,From The Freezer,Nut Butters & Fruit Spreads,0.0625544488430023,For the Pantry
"1 cup of your favorite TJ’s Salami, diced",your favorite Salami,0.972826,1.0,1 cup,cup,0.999889,diced,0.99904,Tortellini Salad,Lunch,Pastas & Grains,0.2230848520994186,For the Pantry,"Packaged Fish, Meat, Fruit & Veg",0.0784280076622963,For the Pantry,Spices,0.0744427070021629,For the Pantry
"2 packages TJ’s Speculoos Cookies, divided",Speculoos Cookies,0.998833,2.0,2 packages,packages,0.999947,divided,0.99959,Cookie Butter & Coffee Ice Cream Cake,Desserts,Candies & Cookies,0.414229542016983,Snacks & Sweets,Bakery,0.1099563837051391,Unknown,Sweet Stuff,0.0647744834423065,Bakery
"1 stick TJ’s Salted Butter, melted",Salted Butter,0.991797,1.0,1 stick,stick,0.998479,melted,0.998159,Cookie Butter & Coffee Ice Cream Cake,Desserts,Refrigerated Dough,0.1399429440498352,Unknown,Fresh,0.0777328386902809,Unknown,Butter,0.0729279667139053,Dairy & Eggs
"1/2 cup TJ’s Carolina Gold Barbeque Sauce (or your favorite TJ’s BBQ Sauce), divided, plus more for serving",Carolina Gold Barbeque Sauce,0.998685,0.5,1/2 cups,cup,0.99992,divided,0.99964,Sweet Gold Grilled Chicken Thighs,Dinner,Cream and Creamy Cheeses,0.1665206998586654,Cheese,Salsa & Hot Sauce,0.0545569770038127,"Dips, Sauces & Dressings",Fresh,0.0526316203176975,Unknown
"1 bag TJ’s Dark Chocolate Bark with Almond, Pretzel, & Sea Salt, broken into smaller pieces","Dark Chocolate Bark with Almond, Pretzel, & Sea Salt",0.937,1.0,1 bag,bag,0.999735,broken into smaller pieces,0.999838,AB&J Banana Bark Boats,Desserts,"Slices, Shreds, Crumbles",0.3034543693065643,Cheese,Refrigerated Dough,0.0592135675251483,Unknown,Bakery,0.0500201471149921,Unknown
"1/3 cup TJ’s Kimchi, roughly chopped",Kimchi,0.997732,0.3333333333333333,1/3 cups,cup,0.999953,roughly chopped,0.996987,Grilled Kim-Cheese,Lunch & Dinner,Fresh,0.3539816737174988,Unknown,Cool Desserts,0.0437465123832225,From The Freezer,"Wedges, Wheels, Loaves, Logs",0.0359223522245883,Cheese
"1 stick TJ’s Salted Butter, melted",Salted Butter,0.991797,1.0,1 stick,stick,0.998479,melted,0.998159,Peanut Butter & Banana Blondie Bars,Desserts,Refrigerated Dough,0.1399429440498352,Unknown,Fresh,0.0777328386902809,Unknown,Butter,0.0729279667139053,Dairy & Eggs
"½ cup TJ’s Old Fashioned Blister Peanuts, chopped",Old Fashioned Blister Peanuts,0.998758,0.5,1/2 cups,cup,0.999962,chopped,0.999353,Peanut Butter & Banana Blondie Bars,Desserts,Fresh,0.0678678601980209,Unknown,"Slices, Shreds, Crumbles",0.0565676167607307,Cheese,Sweet Stuff,0.0539420098066329,Bakery
"1 stick plus 2 tablespoons softened TJ’s Unsalted Butter, divided",Unsalted Butter,0.935596,1.0,1 stick,stick,0.997918,"softened, divided",0.902413,Peanut Butter & Banana Blondie Bars,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1/3 cup plus 4 ounces TJ’s Heavy Cream, divided",Heavy Cream,0.998878,0.3333333333333333,1/3 cups,cup,0.999786,divided,0.992261,Peanut Butter & Banana Blondie Bars,Desserts,Milk & Cream,0.2138539105653762,Dairy & Eggs,Fresh Fruits,0.0609739609062671,Unknown,Cream and Creamy Cheeses,0.0595154389739036,Cheese
1 cup chopped TJ’s Organic 73% Dark Chocolate Bar (about 2.5 Bars) OR your favorite TJ’s Dark Chocolate),Organic 73% Dark Chocolate Bar your favorite Dark Chocolate,0.799477,1.0,1 cup,cup,0.9992,chopped,0.995367,Peanut Butter & Banana Blondie Bars,Desserts,Smoked or Processed,0.1080047637224197,Unknown,Cream and Creamy Cheeses,0.0618150755763053,Cheese,Shelf Stable Foods,0.0556816831231117,Unknown
"1 package TJ’s Organic Tri-Color Bell Peppers (or available colors), sliced into strips",Organic Tri-Color Bell Peppers,0.997579,1.0,1 package,package,0.999782,sliced into strips,0.999784,Veggie Fajitas,Lunch & Dinner,Fresh,0.107487753033638,Unknown,Smoked or Processed,0.0841400027275085,Unknown,"BBQ, Pasta, Simmer",0.0799905508756637,"Dips, Sauces & Dressings"
"¼ cup TJ’s Cilantro, roughly chopped",Cilantro,0.998183,0.25,1/4 cups,cup,0.999979,roughly chopped,0.996771,Veggie Fajitas,Lunch & Dinner,Fresh,0.3388896584510803,Unknown,Fresh Fruits,0.0403364561498165,Unknown,Smoked or Processed,0.0336078628897666,Unknown
"2 teaspoons TJ’s Dill, finely chopped",Dill,0.996529,2.0,2 teaspoons,teaspoon,0.999944,finely chopped,0.99889,Cool as a Cucumber Tea Sandwiches,Appetizers & Sides & Lunch,Fresh,0.2872671782970428,Unknown,"Slices, Shreds, Crumbles",0.0370379984378814,Cheese,Dip/Spread,0.0341254770755767,"Dips, Sauces & Dressings"
"1 teaspoon TJ’s Chives, finely chopped",Chives,0.998264,1.0,1 teaspoon,teaspoon,0.999932,finely chopped,0.997026,Cool as a Cucumber Tea Sandwiches,Appetizers & Sides & Lunch,Fresh,0.1251170039176941,Unknown,"Slices, Shreds, Crumbles",0.0920571014285087,Cheese,Fresh Fruits,0.0659191608428955,Unknown
"8 slices of TJ’s Sliced White Bread, crusts removed",Sliced White Bread,0.98882,8.0,8 slices,slices,0.996491,crusts removed,0.998409,Cool as a Cucumber Tea Sandwiches,Appetizers & Sides & Lunch,Sliced Bread,0.8972994685173035,Bakery,Bakery,0.0122332638129591,Unknown,Fresh Vegetables,0.0091047557070851,Unknown
"1 package TJ’s Organic Mafalda Corta Pasta, cooked according to package instructions",Organic Mafalda Corta Pasta,0.999406,1.0,1 package,package,0.999852,cooked according to package instructions,0.998143,Garden Caprese Pasta Salad,Lunch & Dinner,Cream and Creamy Cheeses,0.2181462496519088,Cheese,"Slices, Shreds, Crumbles",0.117460586130619,Cheese,Fresh,0.0656825676560401,Unknown
1 ½ cup trimmed and cut fresh TJ’s Asparagus (chopped into thirds),fresh Asparagus,0.85549,1.5,1 1/2 cups,cup,0.998294,trimmed and cut,0.996874,Garden Caprese Pasta Salad,Lunch & Dinner,Fresh,0.9198817014694214,Unknown,Veggies,0.0131505653262138,Fresh Fruits & Veggies,Fresh Vegetables,0.0124592687934637,Unknown
"1 container TJ’s Ciliegine Whole Milk Fresh Mozzarella, drained",Ciliegine Whole Milk Fresh Mozzarella,0.991035,1.0,1 container,container,0.99249,drained,0.998357,Garden Caprese Pasta Salad,Lunch & Dinner,Fresh,0.5993281602859497,Unknown,Cream and Creamy Cheeses,0.1075082719326019,Cheese,"Slices, Shreds, Crumbles",0.0364267341792583,Cheese
"½ cup chopped TJ’s Fresh Basil, for garnish",Fresh Basil,0.947708,0.5,1/2 cups,cup,0.999678,chopped,0.985136,Garden Caprese Pasta Salad,Lunch & Dinner,Fresh,0.8466125726699829,Unknown,Fresh Vegetables,0.0343035720288753,Unknown,"Slices, Shreds, Crumbles",0.0091265365481376,Cheese
"1 bag TJ’s Organic Red Lentil Sedanini, cooked according to package instructions and drained",Organic Red Lentil Sedanini,0.998672,1.0,1 bag,bag,0.99923,cooked according to package instructions and drained,0.99985,Vegan Spinach Artichoke Pasta,Lunch & Dinner,Fresh,0.3066675961017608,Unknown,Cream and Creamy Cheeses,0.1250571459531784,Cheese,"Slices, Shreds, Crumbles",0.0782492160797119,Cheese
"1 jar TJ’s Marinated Artichoke Hearts, oil reserved",Marinated Artichoke Hearts,0.998493,1.0,1 jar,jar,0.999752,oil reserved,0.711179,Vegan Spinach Artichoke Pasta,Lunch & Dinner,Shellfish,0.184304267168045,Unknown,Fresh,0.0542966648936271,Unknown,Smoked,0.0470546893775463,Unknown
"2 cloves TJ’s Garlic, minced",Garlic,0.989111,2.0,2 cloves,cloves,0.993554,minced,0.999365,Vegan Spinach Artichoke Pasta,Lunch & Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
