original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence
2 tablespoons TJ’s Bourbon Vanilla Bean Paste,Bourbon Vanilla Bean Paste,0.998984,2.0,2 tablespoons,tablespoon,0.999969,,
1 cup TJ’s Organic Couscous,Organic Couscous,0.999003,1.0,1 cup,cup,0.999969,,
1 can TJ’s Greek Chickpeas with Parsley & Cumin,Greek Chickpeas with Parsley & Cumin,0.992654,1.0,1 can,can,0.999903,,
"½ cup TJ’s Kalamata Olives, sliced",Kalamata Olives,0.999601,0.5,1/2 cups,cup,0.999978,sliced,0.997427
"1 cup TJ’s Mini Pearl Grape Tomatoes, sliced",Mini Pearl Grape Tomatoes,0.999629,1.0,1 cup,cup,0.999966,sliced,0.998045
2 ounces of your favorite TJ’s Gin,your favorite Gin,0.928748,2.0,2 ounces,ounce,0.999798,,
1 ounce TJ’s Organic 100% Sicilian Lemon Juice,Organic 100% Sicilian Lemon Juice,0.998302,1.0,1 ounce,ounce,0.999785,,
A splash of TJ’s Italian Sparkling Mineral Water,Italian Sparkling Mineral Water,0.983273,,,,,,
"1 ½ cup TJ’s Organic Sugar Plum Tomatoes, divided",Organic Sugar Plum Tomatoes,0.99888,1.5,1 1/2 cups,cup,0.999955,divided,0.998679
4 cups TJ’s Baby Spinach,Baby Spinach,0.999674,4.0,4 cups,cup,0.99998,,
"A combined ¾ cup of chopped TJ’s Fresh Chives, Basil, Dill, & Parsley, divided","chopped Fresh Chives Basil, Dill, & Parsley",0.656805,0.75,3/4 cups,cup,0.942961,divided,0.995916
½ teaspoon TJ’s Ground Black Pepper,Ground Black Pepper,0.99118,0.5,1/2 teaspoons,teaspoon,0.999724,,
"1 block TJ’s Feta Cheese, crumbled and divided",Feta Cheese,0.995739,1.0,1 block,block,0.998847,crumbled and divided,0.999845
2 cups TJ’s Buttermilk Pancake & Baking Mix,Buttermilk Pancake & Baking Mix,0.995222,2.0,2 cups,cup,0.999955,,
"6 TJ’s Single Serve Matcha Green Tea Packets, divided",Single Serve Matcha Green Tea Packets,0.997712,6.0,6,,0.99809,divided,0.999719
1 1/3 TJ’s Organic Powdered Sugar,Organic Powdered Sugar,0.996885,1.3333333333333333,1 1/3,,0.998864,,
2 slices TJ’s Sliced Prosciutto,Sliced Prosciutto,0.978369,2.0,2 slices,slices,0.99986,,
2 slices TJ’s Sliced Sourdough Bread,Sliced Sourdough Bread,0.992673,2.0,2 slices,slices,0.999943,,
2 slices TJ’s New Zealand Organic Sliced Cheddar Cheese,New Zealand Organic Sliced Cheddar Cheese,0.999591,2.0,2 slices,slices,0.999848,,
1 package TJ's Rigatoni Pasta,Rigatoni Pasta,0.999541,1.0,1 package,package,0.999941,,
3 tablespoons TJ's Organic Tomato Paste,Organic Tomato Paste,0.999029,3.0,3 tablespoons,tablespoon,0.999954,,
1-2 tablespoons TJ's Italian Bomba Hot Pepper Sauce,Italian Bomba Hot Pepper Sauce,0.999811,1.0,1-2 tablespoon,tablespoon,0.999972,,
"TJ’s Shaved Parmesan Romano & Asiago Cheeses, to serve",Shaved Parmesan Romano & Asiago Cheeses,0.9898,,,,,,
"TJ’s Basil, to garnish",Basil,0.988682,,,,,,
"½ bag TJ’s Sea Scallops (limited), thawed according to package ‘quick thaw’ instruction",Sea Scallops,0.994935,0.5,1/2 bags,bag,0.999777,thawed according to package ‘quick thaw’ instruction,0.960112
"4 tablespoons TJ’s Clarified Butter (Ghee), divided",Clarified Butter (Ghee),0.929681,4.0,4 tablespoons,tablespoon,0.999931,divided,0.999709
1 tub TJ’s Organic Hummus,Organic Hummus,0.998085,1.0,1 tub,tub,0.999279,,
1/2 cup TJ’s Plain Greek Yogurt,Plain Greek Yogurt,0.99975,0.5,1/2 cups,cup,0.999976,,
1 teaspoon TJ’s Traditional Tunisian Harissa,Traditional Tunisian Harissa,0.997869,1.0,1 teaspoon,teaspoon,0.999966,,
"1/2 cup of your favorite mini TJ’s Tomatoes, sliced into rounds",your favorite mini Tomatoes,0.991379,0.5,1/2 cups,cup,0.999857,sliced into rounds,0.99861
"1/4 cup TJ’s Parsley, finely chopped",Parsley,0.999257,0.25,1/4 cups,cup,0.999974,finely chopped,0.998403
"TJ’s Pita Chips and TJ’s Pita Bread, for dipping",Pita Chips and Pita Bread,0.873589,,,,,,
2-3 tablespoons TJ’s Spicy Honey Sauce,Spicy Honey Sauce,0.999133,2.0,2-3 tablespoon,tablespoon,0.999962,,
"Water, for double boiler",Water,0.991062,,,,,,
"1 box TJ’s Oat Chocolate Bars, broken into smaller pieces, reserving 2 squares for garnish",Oat Chocolate Bars,0.998899,1.0,1 box,box,0.99972,"broken into smaller pieces, reserving 2 squares for garnish",0.854372
2 cups TJ’s Vegan Heavy Whipping Cream Alternative,Vegan Heavy Whipping Cream Alternative,0.998948,2.0,2 cups,cup,0.999951,,
1 tub TJ’s Part Skim Ricotta Cheese,Part Skim Ricotta Cheese,0.998356,1.0,1 tub,tub,0.999854,,
"1 tablespoon of lemon zest and 4 teaspoons juice from 1-2 TJ’s Meyer Lemons (seasonal), divided",lemon zest,0.544644,1.0,1 tablespoon,tablespoon,0.999177,divided,0.999741
"2 tablespoons TJ’s Powdered Sugar, plus more for dusting",Powdered Sugar,0.999358,2.0,2 tablespoons,tablespoon,0.999948,,
4 TJ’s Egg Wraps,Egg Wraps,0.997582,4.0,4,,0.999395,,
"Your favorite TJ’s Honey, for drizzling",Your favorite Honey,0.985049,,,,,,
1 package TJ’s All Natural Shaved Beef Steak,All Natural Shaved Beef Steak,0.999832,1.0,1 package,package,0.99994,,
1 tablespoon TJ’s Dijon Mustard,Dijon Mustard,0.999674,1.0,1 tablespoon,tablespoon,0.999969,,
About 2 cups of grated TJ’s Cheddar Gruyère Mélange Cheese,Cheddar Gruyère Mélange Cheese,0.981874,2.0,2 cups,cup,0.997575,grated,0.899922
¼ cup TJ’s Very Cherry Berry Blend,Very Cherry Berry Blend,0.999512,0.25,1/4 cups,cup,0.999965,,
1/3 - 1/2 cup TJ’s Black Cherry Vanilla Sparkling Water,Black Cherry Vanilla Sparkling Water,0.99436,0.3333333333333333,1/3-1/2 cup,cup,0.999916,,
"TJ’s Focaccia Bread with Roasted Tomato & Parmesan, toasted, for dipping",Focaccia Bread with Roasted Tomato & Parmesan,0.996428,,,,,toasted,0.991569
"24 TJ’s Colossal Garlic-Stuffed Olives, drained",Colossal Garlic-Stuffed Olives,0.997824,24.0,24,,0.999204,drained,0.997083
2 cups grated TJ’s Cheddar Cheese with Caramelized Onions,Cheddar Cheese with Caramelized Onions,0.994556,2.0,2 cups,cup,0.999754,grated,0.986208
"For Paprika-flavored shortbread bites: 1 teaspoon TJ’s Smoked Paprika, plus more for garnish",For Paprika-flavored shortbread bites Smoked Paprika,0.871377,1.0,1 teaspoon,teaspoon,0.845793,,
For Thyme and Black Pepper-flavored shortbread bites: 1 tablespoon chopped TJ’s Fresh Thyme (plus a few sprigs for garnish) and 1 teaspoon TJ’s Organic Ground Black Pepper,For Thyme and Black Pepper-flavored shortbread bites Fresh Thyme Organic Ground Black Pepper,0.8342833333333334,1.0,1 tablespoon,tablespoon,0.50148,chopped,0.743028
½ bag TJ’s Pretzel Slims,Pretzel Slims,0.99908,0.5,1/2 bags,bag,0.999738,,
1 package TJ’s Uncured Pastrami,Uncured Pastrami,0.999562,1.0,1 package,package,0.999911,,
1 package TJ’s Shredded Swiss & Gruyere Cheese Blend,Shredded Swiss & Gruyere Cheese Blend,0.997522,1.0,1 package,package,0.999835,,
1 jar TJ’s Sauerkraut,Sauerkraut,0.998117,1.0,1 jar,jar,0.999828,,
"TJ’s Magnifisauce, for drizzling",Magnifisauce,0.996574,,,,,,
6 TJ’s Corn Tortilla,Corn Tortilla,0.995328,6.0,6,,0.999091,,
"1 package TJ’s Beef Birria, prepared according to package instructions",Beef Birria,0.999131,1.0,1 package,package,0.999878,prepared according to package instructions,0.981648
1 ½ cup TJ’s Shredded Mozzarella,Shredded Mozzarella,0.998851,1.5,1 1/2 cups,cup,0.999976,,
"1 small TJ’s White Onion, chopped",White Onion,0.99573,1.0,1,,0.999793,chopped,0.997798
"1 TJ’s Cilantro Bunch, chopped",Cilantro Bunch,0.827741,1.0,1,,0.999555,chopped,0.99883
1/3 cup TJ’s Organic Coconut Aminos Seasoning Sauce,Organic Coconut Aminos Seasoning Sauce,0.999461,0.3333333333333333,1/3 cups,cup,0.999962,,
"¼ cup plus 1 tablespoon chopped TJs Fresh Dill, divided (reserve a few fronds for garnish)",TJs Fresh Dill,0.90158,0.25,1/4 cups,cup,0.99987,"chopped, divided",0.93233
"1 package (1¼ or 1½ pounds) TJ’s Boneless Skinless Fresh Atlantic Salmon Fillet, cut into 4 portions",Boneless Skinless Fresh Atlantic Salmon Fillet,0.996325,1.0,1 package,package,0.998947,cut into 4 portions,0.999652
¾ package TJ’s Organic Persian Cucumbers,Organic Persian Cucumbers,0.998861,0.75,3/4 packages,packages,0.999892,,
¼ cup TJ’s Organic Apple Cider Vinegar,Organic Apple Cider Vinegar,0.997886,0.25,1/4 cups,cup,0.999972,,
"TJ’s Frozen Brown or Jasmine Rice, cooked according to package directions",Frozen Brown Rice Frozen Jasmine Rice,0.7303785,,,,,cooked according to package directions,0.99905
Ice cubes (for shaking),Ice cubes,0.977435,,,,,,
"3 ounces of your favorite TJ's vodka, chilled",your favorite vodka,0.908491,3.0,3 ounces,ounce,0.999606,chilled,0.996437
3 TJ's Blue Cheese Stuffed Chalkidiki Olives,Blue Cheese Stuffed Chalkidiki Olives,0.997517,3.0,3,,0.996071,,
Wooden pick for skewering olives (optional),Wooden pick,0.957719,,,,,,
3 tablespoons TJ’s Coconut Aminos,Coconut Aminos,0.999866,3.0,3 tablespoons,tablespoon,0.999967,,
1 teaspoon minced TJ’s Ginger,Ginger,0.991448,1.0,1 teaspoon,teaspoon,0.999724,minced,0.985966
1 teaspoon TJ’s Agave,Agave,0.998678,1.0,1 teaspoon,teaspoon,0.999953,,
"1 TJ’s Organic Baguette, sliced",Organic Baguette,0.994723,1.0,1,,0.998568,sliced,0.998919
1 package TJ’s Prosciutto,Prosciutto,0.99836,1.0,1 package,package,0.99992,,
"2 packages TJ’s Chevre Fine Herbs Goat Cheese, sliced into rounds",Chevre Fine Herbs Goat Cheese,0.999564,2.0,2 packages,packages,0.999815,sliced into rounds,0.998716
"8-10 TJ’s Figs or TJ’s Organic Turkish Dried Figs, sliced in half",Figs Organic Turkish Dried Figs,0.734642,8.0,8-10,,0.991242,sliced in half,0.998947
"2 sprigs of TJ’s Sage, leaves removed",Sage,0.976931,2.0,2 sprigs,sprigs,0.999369,leaves removed,0.998799
1 package TJ’s Organic Medjool Dates,Organic Medjool Dates,0.999311,1.0,1 package,package,0.999906,,
1 wedge TJ’s Dolce Creamy Gorgonzola Style Cheese or TJ’s Cambozola Blue Cheese,Dolce Creamy Gorgonzola Style Cheese Cambozola Blue Cheese,0.966073,1.0,1 wedge,wedge,0.981808,,
"1 box TJ’s Puff Pastry (two sheets), thawed according to package instructions",Puff Pastry,0.99901,1.0,1 box,box,0.999663,thawed according to package instructions,0.998378
1 log TJ’s Cranberry Chevre Goat Cheese,log Cranberry Chevre Goat Cheese,0.953363,1.0,1,,0.997746,,
"A couple sprigs of TJ’s Thyme, to garnish",Thyme,0.901218,,couple sprig,couple sprig,0.718712,,
1 TJ’s Salmon Fillet (about 1 pound),Salmon Fillet,0.996872,1.0,1,,0.996565,,
2 tablespoons TJ’s Salmon Rub Seasoning Blend,Salmon Rub Seasoning Blend,0.998491,2.0,2 tablespoons,tablespoon,0.999956,,
2 tablespoons of your favorite TJ’s Maple Syrup,your favorite Maple Syrup,0.975571,2.0,2 tablespoons,tablespoon,0.999424,,
1 box TJ’s Rice Orzo Pilaf Mix,Rice Orzo Pilaf Mix,0.998055,1.0,1 box,box,0.999896,,
2 tablespoons TJ’s Salted Butter Quarters,Salted Butter Quarters,0.867868,2.0,2 tablespoons,tablespoon,0.999947,,
"1 small TJ’s Sweet Potato, chopped",Sweet Potato,0.995881,1.0,1,,0.999785,chopped,0.99937
"3 cups TJ’s Kale, chopped",Kale,0.998062,3.0,3 cups,cup,0.999972,chopped,0.999398
1/3 cup chopped TJ’s Raw Pecans Halves,Raw Pecans Halves,0.997747,0.3333333333333333,1/3 cups,cup,0.999777,chopped,0.996114
1 carton (4 cups) TJ’s Organic Hearty Vegetable Broth,Organic Hearty Vegetable Broth,0.995912,1.0,1 carton,carton,0.904814,,
1 package (16 ounces) TJ’s Orzo,Orzo,0.992714,1.0,1 package,package,0.999351,,
1 jar TJ’s Cacio e Pepe Pasta Sauce,Cacio e Pepe Pasta Sauce,0.999701,1.0,1 jar,jar,0.999821,,
"1 package (8.8 ounces) TJ’s Gluten Free Tagliatelle Pasta, cooked according to package instructions, reserving one cup of pasta water",Gluten Free Tagliatelle Pasta,0.995243,1.0,1 package,package,0.999308,"cooked according to package instructions, reserving one cup of pasta water",0.873417
"1 pound TJ’s Wild Uncooked Argentinian Shrimp, thawed and patted dry",Wild Uncooked Argentinian Shrimp,0.998804,1.0,1 pound,pound,0.999952,thawed and patted dry,0.994148
4 roughly chopped cloves of TJ’s Garlic,cloves of Garlic,0.578432,4.0,4,,0.99287,roughly chopped,0.963424
½ teaspoon TJ’s Red Pepper Flakes,Red Pepper Flakes,0.999803,0.5,1/2 teaspoons,teaspoon,0.999966,,
½ cup of your favorite dry TJ’s White Wine,your favorite dry White Wine,0.990476,0.5,1/2 cups,cup,0.999892,,
Juice from half of a TJ’s Lemon,Juice from half of a Lemon,0.816891,,,,,,
1 jar TJ’s Roasted Garlic Marinara Sauce,Roasted Garlic Marinara Sauce,0.996392,1.0,1 jar,jar,0.999792,,
1 package TJ’s Organic Chicken Nuggets,Organic Chicken Nuggets,0.999637,1.0,1 package,package,0.999925,,
1 package of your favorite TJ’s refrigerated ravioli,your favorite refrigerated ravioli,0.969753,1.0,1 package,package,0.999667,,
1 package TJ’s Fresh Mozzarella Cheese Log,Fresh Mozzarella Cheese Log,0.998923,1.0,1 package,package,0.999733,,
"1 package TJ’s Gluten Free Egg Fettucine Pasta, cooked according to package instructions",Gluten Free Egg Fettucine Pasta,0.999543,1.0,1 package,package,0.99977,cooked according to package instructions,0.997561
1 cup TJ’s Organic White Quinoa,Organic White Quinoa,0.999441,1.0,1 cup,cup,0.999969,,
1 can (about 2 cups) TJ’s Organic Coconut Milk,Organic Coconut Milk,0.99735,1.0,1 can,can,0.999726,,
1 container TJ’s Organic Plain Cream Cheese Spread,Organic Plain Cream Cheese Spread,0.994335,1.0,1 container,container,0.984485,,
"½ cup TJ’s Olive and Herbs Mixed Nuts, finely chopped",Olive and Herbs Mixed Nuts,0.980627,0.5,1/2 cups,cup,0.999948,finely chopped,0.99924
"TJ’s Celery, chopped into 3-inch pieces for dipping",Celery,0.985992,,,,,chopped into 3 inch pieces for dipping,0.946878
"TJ’s Fig & Olive Crisps, for dipping",Fig & Olive Crisps,0.991507,,,,,,
1 box TJ’s Pumpkin Bread & Muffin Mix,Pumpkin Bread & Muffin Mix,0.991415,1.0,1 box,box,0.998137,,
½ teaspoon TJ’s Pure Bourbon Vanilla Extract,Pure Bourbon Vanilla Extract,0.997934,0.5,1/2 teaspoons,teaspoon,0.999965,,
1 (six ounce) bag TJ’s Mini Maple Flavored Marshmallows,Mini Maple Flavored Marshmallows,0.999546,1.0,1 bag,bag,0.999774,,
8 cups TJ’s Movie Theater Popcorn,Movie Theater Popcorn,0.99925,8.0,8 cups,cup,0.999979,,
"2 TJ’s Gala Apples, thinly sliced",Gala Apples,0.996399,2.0,2,,0.998757,thinly sliced,0.997543
3 generous spoonfuls of TJ’s Creamy Salted Peanut Butter,generous spoonfuls of Creamy Salted Peanut Butter,0.943818,3.0,3,,0.990395,,
2 TJ’s Sourdough Sliced Bread,Sourdough Sliced Bread,0.996438,2.0,2,,0.998288,,
1 tablespoon TJ’s Ranch Seasoning,Ranch Seasoning,0.999404,1.0,1 tablespoon,tablespoon,0.999967,,
"2 TJ’s Romaine Hearts, cut in half lengthwise",Romaine Hearts,0.988448,2.0,2,,0.99639,cut in half lengthwise,0.999761
"1 cup TJ’s Mini Heirloom Tomatoes, sliced in half",Mini Heirloom Tomatoes,0.998469,1.0,1 cup,cup,0.999959,sliced in half,0.996197
Skewers,Skewers,0.986178,,,,,,
1 cup cubed TJ’s Watermelon,Watermelon,0.984707,1.0,1 cup,cup,0.999671,cubed,0.977572
1 cup cubed TJ’s Cantaloupe,Cantaloupe,0.982422,1.0,1 cup,cup,0.999673,cubed,0.971327
"Your favorite TJ’s Oil, for grill grates",Your favorite Oil,0.974345,,,,,,
"3 tablespoons TJ’s Garlic Spread Dip, plus more for dipping",Garlic Spread Dip,0.998947,3.0,3 tablespoons,tablespoon,0.999937,,
"¼ cup sliced TJ’s Grilled Pitted Green Olives, plus 3 tablespoons of oil, divided",Grilled Pitted Green Olives oil,0.7663915,0.25,1/4 cups,cup,0.999453,"sliced, divided",0.937544
"1 microwavable bag of TJ’s Rice Medley, cooked according to package instructions",Rice Medley,0.983673,1.0,1 microwavable bag,microwavable bag,0.930812,cooked according to package instructions,0.997337
1 package (30 cookies) of TJ’s Chocolate Vanilla Creme Joe-Joe's Sandwich Cookies,Chocolate Vanilla Creme Joe-Joe's Sandwich Cookies,0.979216,1.0,1 package,package,0.998657,,
"1 block (8 ounces) TJ’s Cream Cheese, at room temperature",Cream Cheese,0.99448,1.0,1 block,block,0.998434,at room temperature,0.999336
"1 TJ’s Shallot, sliced into thin rings",Shallot,0.99339,1.0,1,,0.998602,sliced into thin rings,0.999931
1 cup of your favorite plain TJ’s Yogurt,your favorite plain Yogurt,0.990357,1.0,1 cup,cup,0.999889,,
½ cup TJ’s Sri Lankan Organic Mango Chutney,Sri Lankan Organic Mango Chutney,0.999363,0.5,1/2 cups,cup,0.999962,,
"2 pounds TJ’s Peaches (about 6-7 peaches), sliced",Peaches,0.994268,2.0,2 pounds,pound,0.99995,sliced,0.999143
"2 cups TJ’s Just the Clusters Vanilla Almond Granola, lightly crushed",Just the Clusters Vanilla Almond Granola,0.998508,2.0,2 cups,cup,0.999953,lightly crushed,0.990709
1 package TJ’s Freeze-Dried Strawberries,Freeze-Dried Strawberries,0.998884,1.0,1 package,package,0.999916,,
1 tub TJ’s Mascarpone Cheese,Mascarpone Cheese,0.997792,1.0,1 tub,tub,0.999519,,
1 package TJ’s Chocolate Chip Pain Au Lait,Chocolate Chip Pain Au Lait,0.998832,1.0,1 package,package,0.999853,,
3 single-serve packets TJ’s Matcha Green Tea,Matcha Green Tea,0.971368,3.0,3 single-serve packets,single-serve packets,0.846539,,
3 tablespoons TJ’s Avocado Oil or TJ’s Olive Oil,Avocado Oil Olive Oil,0.7145665,3.0,3 tablespoons,tablespoon,0.999823,,
½ cup TJ’s Sweet & Spicy Pecans,Sweet & Spicy Pecans,0.977957,0.5,1/2 cups,cup,0.999973,,
"3 TJ’s Eggs and 2 Egg Yolks, whisked together",Eggs and 2 Egg Yolks,0.618482,3.0,3,,0.991009,whisked together,0.963925
"1 package TJ’s Cave Aged Switzerland Le Gruyère Cheese, grated",Cave Aged Switzerland Le Gruyère Cheese,0.99935,1.0,1 package,package,0.999883,grated,0.999723
"8 slices TJ’s Uncured Black Forest Ham, sliced into ½ inch ribbons",Uncured Black Forest Ham,0.999314,8.0,8 slices,slices,0.99941,sliced into 1/2 inch ribbons,0.999519
¼ cup juice TJ's Lemons (about 2 lemons),juice Lemons,0.991984,0.25,1/4 cups,cup,0.999745,,
1 bag TJ's Organic Arugula,Organic Arugula,0.998508,1.0,1 bag,bag,0.999412,,
"2 packages TJ’s Baby Corn, chopped into thirds",Baby Corn,0.997068,2.0,2 packages,packages,0.999879,chopped into thirds,0.996959
"1 pint TJ’s Organic Heirloom Medley Cherry Tomatoes, sliced in half",Organic Heirloom Medley Cherry Tomatoes,0.999102,1.0,1 pint,pint,0.999193,sliced in half,0.99797
¼ cup chopped TJ’s Organic Cilantro,Organic Cilantro,0.995821,0.25,1/4 cups,cup,0.999761,chopped,0.992318
A few cranks TJ’s Black Peppercorns,A few cranks Black Peppercorns,0.981087,,,,,,
½ - ¾ container TJ’s Crumbled Feta,Crumbled Feta,0.996587,0.5,1/2-3/4 container,container,0.99728,,
¼ cup TJ’s Organic Plain Yogurt,Organic Plain Yogurt,0.999409,0.25,1/4 cups,cup,0.999961,,
1 teaspoon TJ”s Sea Salt,TJ”s Sea Salt,0.998479,1.0,1 teaspoon,teaspoon,0.999973,,
1-2 tablespoons TJ’s Peri-Peri Sauce,Peri-Peri Sauce,0.999516,1.0,1-2 tablespoon,tablespoon,0.999979,,
1 bag (1.5 lbs.) TJ’s Dutch Yellow Baby Potatoes,Dutch Yellow Baby Potatoes,0.998939,1.0,1 bag,bag,0.99893,,
"1 TJ’s Yellow or Red Bell Pepper, diced",Yellow Bell Pepper Red Bell Pepper,0.7366014999999999,1.0,1,,0.9928,diced,0.998298
"TJ’s Vegetable Root Chips or TJ's Ode to the Classic Potato Chip, for garnish",Vegetable Root Chips Ode to the Classic Potato Chip,0.7977380000000001,,,,,,
1 package TJ’s Soy Chorizo,Soy Chorizo,0.999773,1.0,1 package,package,0.999954,,
1 bag TJ’s Dairy Free Shredded Spicy Mexican Style Blend Cheese Alternative,Dairy Free Shredded Spicy Mexican Style Blend Cheese Alternative,0.999311,1.0,1 bag,bag,0.999716,,
Your favorite TJ’s Salsa,Your favorite Salsa,0.988706,,,,,,
"1 package (1 lb.) TJ’s Organic Spaghetti alla Chitarra Pasta, cooked according to package instructions",Organic Spaghetti alla Chitarra Pasta,0.996743,1.0,1 package,package,0.999636,cooked according to package instructions,0.998103
1 cup of pasta water reserved,pasta water,0.908127,1.0,1 cup,cup,0.999937,reserved,0.56456
¼ cup TJ’s Organic Raw Apple Cider Vinegar or TJ's Rice Vinegar,Organic Raw Apple Cider Vinegar Rice Vinegar,0.938158,0.25,1/4 cups,cup,0.999935,,
"TJ’s Cheese Tortellini, cooked according to package instructions and cooled",Cheese Tortellini,0.992758,,,,,cooked according to package instructions and cooled,0.999814
"2 TJ’s Green Bell Peppers, cored and diced",Green Bell Peppers,0.987621,2.0,2,,0.99781,cored and diced,0.999934
"1 package of your favorite small TJ’s Tomato, sliced in half",your favorite small Tomato,0.881764,1.0,1 package,package,0.999563,sliced in half,0.997057
"1 cup of your favorite TJ’s Salami, diced",your favorite Salami,0.972826,1.0,1 cup,cup,0.999889,diced,0.99904
1 package TJ’s Fresh Mozzarella Pearls,Fresh Mozzarella Pearls,0.998409,1.0,1 package,package,0.999806,,
¼ - ½ cup TJ’s Organic Italian Dressing,Organic Italian Dressing,0.999029,0.25,1/4-1/2 cup,cup,0.999973,,
1 quart TJ’s Coffee Bean Blast Ice Cream,Coffee Bean Blast Ice Cream,0.998167,1.0,1 quart,quart,0.996649,,
1 ½ jars TJ’s Speculoos Cookie Butter,Speculoos Cookie Butter,0.999409,1.5,1 1/2 jars,jars,0.999773,,
3 cups TJ’s Speculoos Cookie Butter Ice Cream,Speculoos Cookie Butter Ice Cream,0.999338,3.0,3 cups,cup,0.999955,,
9-inch Nonstick Springform Cake Pan,Nonstick Springform Cake Pan,0.997612,9.0,9 inches,inch,0.997697,,
"TJ’s Sea Salt & Ground Black Pepper, to taste",Sea Salt & Ground Black Pepper,0.950767,,,,,,
"1/2 cup TJ’s Carolina Gold Barbeque Sauce (or your favorite TJ’s BBQ Sauce), divided, plus more for serving",Carolina Gold Barbeque Sauce,0.998685,0.5,1/2 cups,cup,0.99992,divided,0.99964
"2 TJ’s Cinnamon Graham Crackers, broken into smaller pieces",Cinnamon Graham Crackers,0.994913,2.0,2,,0.996582,broken into smaller pieces,0.999898
¼ cup TJ’s Spiced Chai Black Tea Concentrate,Spiced Chai Black Tea Concentrate,0.999782,0.25,1/4 cups,cup,0.999939,,
"TJ’s Salted Almond Butter, for drizzling",Salted Almond Butter,0.99637,,,,,,
"TJ’s Organic Raspberry Preserves, for drizzling",Organic Raspberry Preserves,0.986328,,,,,,
"1 bag TJ’s Dark Chocolate Bark with Almond, Pretzel, & Sea Salt, broken into smaller pieces","Dark Chocolate Bark with Almond, Pretzel, & Sea Salt",0.937,1.0,1 bag,bag,0.999735,broken into smaller pieces,0.999838
Parchment paper,Parchment paper,0.996442,,,,,,
Heavy duty aluminum foil,Heavy duty aluminum foil,0.990644,,,,,,
½ cup of ice,ice,0.958578,0.5,1/2 cups,cup,0.999946,,
1 ½ ounce of your favorite TJ’s Tequila,your favorite Tequila,0.951982,1.5,1 1/2 ounces,ounce,0.999912,,
¾ cup TJ’s Organic Jalapeño Limeade,Organic Jalapeño Limeade,0.998294,0.75,3/4 cups,cup,0.999971,,
1 slice TJ’s Sliced Muenster Cheese,Sliced Muenster Cheese,0.994124,1.0,1 slice,slice,0.999859,,
1 slice TJ’s Sliced Provolone Cheese,Sliced Provolone Cheese,0.985124,1.0,1 slice,slice,0.999858,,
"TJ’s Coconut Oil Spray, to grease pan",Coconut Oil Spray,0.99822,,,,,,
1 box TJ’s Blondie Bar Baking Mix,Blondie Bar Baking Mix,0.999138,1.0,1 box,box,0.99984,,
"½ cup TJ’s Old Fashioned Blister Peanuts, chopped",Old Fashioned Blister Peanuts,0.998758,0.5,1/2 cups,cup,0.999962,chopped,0.999353
1 cup TJ’s Creamy Salted Peanut Butter,Creamy Salted Peanut Butter,0.999848,1.0,1 cup,cup,0.999954,,
"2-3 large or 4-5 small TJ’s Bananas, sliced",Bananas,0.768694,2.0,2-3,,0.999289,sliced,0.917918
1 cup chopped TJ’s Organic 73% Dark Chocolate Bar (about 2.5 Bars) OR your favorite TJ’s Dark Chocolate),Organic 73% Dark Chocolate Bar your favorite Dark Chocolate,0.799477,1.0,1 cup,cup,0.9992,chopped,0.995367
"15 TJ’s Milk Chocolate Peanut Butter Cups, unwrapped and frozen",Milk Chocolate Peanut Butter Cups,0.979716,15.0,15,,0.998848,unwrapped and frozen,0.85928
"1 package TJ’s Organic Tri-Color Bell Peppers (or available colors), sliced into strips",Organic Tri-Color Bell Peppers,0.997579,1.0,1 package,package,0.999782,sliced into strips,0.999784
"2-3 TJ’s Portabella Mushroom, sliced into thick strips",Portabella Mushroom,0.997116,2.0,2-3,,0.999149,sliced into thick strips,0.999893
"TJ’s Flour Tortillas, for serving",Flour Tortillas,0.994405,,,,,,
"2 teaspoons TJ’s Dill, finely chopped",Dill,0.996529,2.0,2 teaspoons,teaspoon,0.999944,finely chopped,0.99889
1 teaspoon juice from 1 TJ’s Lemon,juice from 1 Lemon,0.639792,1.0,1 teaspoon,teaspoon,0.999751,,
A couple cranks of TJ’s Black Peppercorns,A couple cranks of Black Peppercorns,0.900989,,,,,,
"8 slices of TJ’s Sliced White Bread, crusts removed",Sliced White Bread,0.98882,8.0,8 slices,slices,0.996491,crusts removed,0.998409
"1 package TJ’s Organic Mafalda Corta Pasta, cooked according to package instructions",Organic Mafalda Corta Pasta,0.999406,1.0,1 package,package,0.999852,cooked according to package instructions,0.998143
1 ½ cup trimmed and cut fresh TJ’s Asparagus (chopped into thirds),fresh Asparagus,0.85549,1.5,1 1/2 cups,cup,0.998294,trimmed and cut,0.996874
1 container TJ’s Bruschetta Sauce,Bruschetta Sauce,0.997004,1.0,1 container,container,0.997783,,
"1 container TJ’s Ciliegine Whole Milk Fresh Mozzarella, drained",Ciliegine Whole Milk Fresh Mozzarella,0.991035,1.0,1 container,container,0.99249,drained,0.998357
"1 bag TJ’s Organic Red Lentil Sedanini, cooked according to package instructions and drained",Organic Red Lentil Sedanini,0.998672,1.0,1 bag,bag,0.99923,cooked according to package instructions and drained,0.99985
